Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
21,1610612760,Oklahoma City Thunder*,18,48,34,50,32,3.41,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,18.2,29.5,0.617,3.7,9.3,0.4,7.2,18.9,0.383,1.3,3.5,0.371,1.5,4,0.373,7.9,22.6,0.35,0,0.3,0,18.6,30.8,0.606,2.2,5.5,0.401,3,7.4,0.405,4,10.4,0.383,6.5,17.5,0.369,5.6,15.7,0.353,0,0.3,0.105,0,0.2,0,0,0.3,0
22,1610612753,Orlando Magic,18,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,17,26,0.656,5.7,15.6,0.368,5.7,15,0.382,1.3,3.4,0.381,0.7,2.1,0.335,8.3,23.6,0.35,0,0.1,0.1,17.8,28.1,0.633,3.6,9.5,0.379,2.7,7.5,0.357,3.2,8.3,0.39,4.4,11.8,0.371,7,20.1,0.35,0.1,0.3,0.176,0,0.1,0,0,0.2,0.071
23,1610612755,Philadelphia 76ers*,18,52,30,53,29,4.5,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,18.1,27,0.672,5.5,14.7,0.371,6.3,15.1,0.415,0.8,2.2,0.344,1.1,2.6,0.436,9.1,24.8,0.367,0,0.2,0,19,29.4,0.647,3.4,8.7,0.386,3,7.9,0.38,3,7.2,0.412,4.6,11.3,0.404,7.9,21.6,0.365,0.1,0.3,0.412,0,0.1,0,0,0.2,0
24,1610612756,Phoenix Suns,18,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,17.9,29.8,0.601,5.1,13.6,0.377,6.1,15.8,0.386,1.3,3.3,0.387,0.9,2.8,0.33,7.1,21.5,0.329,0,0.2,0,18.7,31.7,0.589,3.1,8.2,0.373,3.5,8.6,0.409,3.1,8.1,0.383,4.6,13.2,0.35,5.5,16.7,0.328,0.1,0.5,0.121,0,0.1,0,0,0.2,0
25,1610612757,Portland Trail Blazers*,18,49,33,48,34,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,16.1,27.7,0.581,5.4,13.4,0.405,7.5,17.7,0.422,1,2.7,0.374,1,2.5,0.396,8.3,22.9,0.363,0,0,0,16.9,29.6,0.568,3.3,8.5,0.393,3.5,7.9,0.441,3.8,9,0.417,5.6,14.9,0.378,6.1,16.5,0.37,0.2,0.7,0.279,0,0,0,0,0,0
26,1610612758,Sacramento Kings,18,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,14.9,24,0.619,6.9,17.9,0.386,8,20.4,0.395,1.1,3,0.381,1,2.2,0.453,6.8,18.4,0.371,0,0.3,0,15.6,26.3,0.594,4.8,12.2,0.39,3.1,8,0.387,4.6,11.5,0.403,5.8,14.6,0.399,4.8,13,0.372,0,0.2,0.167,0,0.2,0,0,0.4,0.032
27,1610612759,San Antonio Spurs*,18,47,35,49,33,2.89,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,15.8,24.7,0.638,6.1,15.3,0.4,8.7,21.3,0.408,1.2,3,0.397,1.2,2.8,0.408,6.1,18.1,0.339,0,0.2,0,16.5,26.7,0.619,4.1,10.1,0.402,4.2,10.2,0.412,4.4,10.5,0.416,5.3,13.8,0.384,4.6,13.6,0.336,0,0.2,0.182,0,0.1,0,0,0.3,0
28,1610612761,Toronto Raptors*,18,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,18.8,29,0.65,5.5,13.2,0.419,5.2,12.4,0.416,1.8,4.8,0.366,1.5,3.6,0.428,8.5,24.3,0.349,0,0.2,0.053,19.7,31.1,0.634,3.4,8.3,0.406,3,7.1,0.422,2.7,6.2,0.44,5.5,14.7,0.375,6.9,19.3,0.355,0.1,0.5,0.167,0,0.1,0,0,0.3,0.042
29,1610612762,Utah Jazz*,18,48,34,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,17.2,26.7,0.644,5,13.2,0.376,5.3,13.4,0.395,1.9,4.5,0.415,1.7,4,0.42,7.3,20.9,0.348,0,0.2,0,17.7,28.4,0.623,2.8,7.6,0.365,2.7,6.9,0.396,3,7.5,0.4,6.3,16.5,0.384,5.6,15.3,0.368,0.1,0.3,0.167,0,0.1,0.143,0,0.2,0
30,1610612764,Washington Wizards*,18,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,15.1,23.7,0.639,6,14.3,0.422,8.9,21.2,0.419,0.9,2.6,0.35,1.1,2.7,0.41,7.9,20.9,0.377,0,0.2,0,15.9,25.6,0.621,3.7,8.8,0.425,4.2,9.7,0.434,4.9,11.6,0.421,4.5,11.9,0.382,6.6,17.5,0.375,0.1,0.2,0.333,0,0.1,0,0,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
